Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,5398,110745628000,519.71,142.26,1.12,23062689.47,100%
list,list,854,0,110.02,110.02,0.18,0,100%
write,write,1793,37722932000,1023.63,774.79,0.37,7855770.76,100%
delete,delete,880,0,75.98,75.98,0.18,0,100%
read,read,5183,108578912000,535.29,137.28,1.08,22611755.11,100%
list,list,866,0,93.02,93.02,0.18,0,100%
write,write,1751,38375984000,1083.44,797.15,0.36,7991868.18,100%
delete,delete,838,0,58.97,58.97,0.17,0,100%
read,read,5272,111204088000,541.5,145.09,1.1,23160353.1,100%
list,list,932,0,112.38,112.38,0.19,0,100%
write,write,1785,38640108000,996.81,741.72,0.37,8047532.79,100%
delete,delete,906,0,68.68,68.68,0.19,0,100%
read,read,5437,116119528000,529.79,143.61,1.13,24182112.12,100%
list,list,915,0,110.64,110.64,0.19,0,100%
write,write,1765,37332268000,1005.95,741.45,0.37,7774515.67,100%
delete,delete,824,0,53.75,53.75,0.17,0,100%
read,read,5386,112911016000,519.86,145.71,1.12,23521770.93,100%
list,list,943,0,100.02,100.02,0.2,0,100%
write,write,1836,37203108000,1004.37,768.39,0.38,7750200.25,100%
delete,delete,940,0,65.49,65.49,0.2,0,100%
read,read,5254,113363272000,538.6,151.64,1.09,23608509.9,100%
list,list,934,0,117.51,117.51,0.19,0,100%
write,write,1786,37525828000,1008.83,739.33,0.37,7814955.11,100%
delete,delete,878,0,68.37,68.37,0.18,0,100%
read,read,5500,115660456000,518.82,137.64,1.15,24095863.07,100%
list,list,955,0,104.11,104.11,0.2,0,100%
write,write,1771,36477136000,1009.51,749.21,0.37,7599382.75,100%
delete,delete,947,0,62.15,62.15,0.2,0,100%
