Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,1815,37922136000,986.7,757.91,0.38,7897657.78,100%
delete,delete,959,0,68.96,68.96,0.2,0,100%
read,read,5663,117110252000,509.8,133.61,1.18,24389935.73,100%
list,list,964,0,104.13,104.13,0.2,0,100%
write,write,1894,39298624000,923.96,681.82,0.39,8184517.56,100%
delete,delete,926,0,68.93,68.93,0.19,0,100%
read,read,5715,123271368000,516.27,145.11,1.19,25681593.85,100%
list,list,987,0,96.79,96.79,0.21,0,100%
write,write,1936,41198560000,868.99,636.45,0.4,8583053,100%
delete,delete,939,0,75.83,75.83,0.2,0,100%
read,read,5562,115205040000,513.5,143.49,1.16,24007932.27,100%
list,list,920,0,95.94,95.94,0.19,0,100%
write,write,1943,40939220000,924.73,666.86,0.4,8531449.85,100%
delete,delete,941,0,60.7,60.7,0.2,0,100%
read,read,5626,119273440000,523.77,133.83,1.17,24838858.21,100%
list,list,919,0,95.44,95.44,0.19,0,100%
write,write,1851,38120676000,917.07,679.43,0.39,7938683.3,100%
delete,delete,960,0,72.51,72.51,0.2,0,100%
read,read,5910,120851724000,484.25,138.05,1.23,25167401.76,100%
list,list,972,0,99.3,99.3,0.2,0,100%
write,write,1944,39170940000,918.21,694.73,0.4,8157358.05,100%
delete,delete,957,0,60.69,60.69,0.2,0,100%
read,read,5605,118616716000,532.51,143.53,1.17,24701749.87,100%
list,list,941,0,102.82,102.82,0.2,0,100%
write,write,1881,39886260000,885.4,643.09,0.39,8306252.7,100%
delete,delete,973,0,56.22,56.22,0.2,0,100%
read,read,5820,123467484000,499.05,133.08,1.21,25714447.81,100%
list,list,943,0,108.66,108.66,0.2,0,100%
write,write,1822,40476652000,960.01,712.26,0.38,8430031.3,100%
delete,delete,933,0,48.25,48.25,0.19,0,100%
read,read,5626,120187588000,518.32,133.78,1.17,25030434.9,100%
list,list,992,0,100.21,100.21,0.21,0,100%
write,write,1824,37985844000,936.49,707.62,0.38,7910984.91,100%
delete,delete,964,0,80.57,80.57,0.2,0,100%
read,read,5611,121759516000,507.7,135.44,1.17,25358345.5,100%
list,list,942,0,92.69,92.69,0.2,0,100%
write,write,1885,39624388000,962.45,717.15,0.39,8252405.68,100%
delete,delete,965,0,52.77,52.77,0.2,0,100%
read,read,5611,116452264000,500.88,134.8,1.17,24254471,100%
list,list,967,0,101.82,101.82,0.2,0,100%
write,write,1997,42248816000,917.37,684.56,0.42,8799508.46,100%
delete,delete,943,0,63.58,63.58,0.2,0,100%
read,read,5764,120847060000,506.88,139.9,1.2,25181764.25,100%
list,list,931,0,107.72,107.72,0.19,0,100%
write,write,1918,39758404000,896.24,666.94,0.4,8284742.36,100%
delete,delete,969,0,59.51,59.51,0.2,0,100%
read,read,5647,117439588000,496.5,134.17,1.18,24457913.56,100%
list,list,921,0,129.57,129.57,0.19,0,100%
write,write,1881,40280952000,963.31,721.8,0.39,8388892.19,100%
delete,delete,946,0,69.99,69.99,0.2,0,100%
read,read,5479,113696152000,520.99,136.72,1.14,23693095.47,100%
list,list,938,0,106.17,106.17,0.2,0,100%
write,write,1869,39167220000,945.94,703.89,0.39,8162041.25,100%
delete,delete,930,0,81.95,81.95,0.19,0,100%
read,read,5770,121566796000,500.24,129.41,1.2,25317401.78,100%
list,list,996,0,102.15,102.15,0.21,0,100%
write,write,1915,40676440000,908.36,669.01,0.4,8471242.22,100%
delete,delete,947,0,77.8,77.8,0.2,0,100%
read,read,5563,117626548000,523.78,140.55,1.16,24498002.8,100%
list,list,892,0,104.21,104.21,0.19,0,100%
write,write,1846,40605472000,917.65,671.04,0.38,8456874.61,100%
delete,delete,907,0,110.59,110.59,0.19,0,100%
read,read,5668,120584728000,505.34,127.95,1.18,25116721.73,100%
list,list,947,0,112.52,112.52,0.2,0,100%
write,write,1925,41265548000,903.93,672.66,0.4,8595245.05,100%
delete,delete,949,0,94.51,94.51,0.2,0,100%
read,read,5618,115864304000,496.42,131.12,1.17,24128453.73,100%
list,list,949,0,115.71,115.71,0.2,0,100%
write,write,1918,38379892000,939.79,708.15,0.4,7992517.25,100%
delete,delete,934,0,107.46,107.46,0.19,0,100%
read,read,5522,116249732000,506.06,132.77,1.15,24209262.64,100%
list,list,979,0,100.07,100.07,0.2,0,100%
write,write,1894,41855152000,955.93,715.45,0.39,8716427.56,100%
delete,delete,940,0,104.76,104.76,0.2,0,100%
read,read,5600,114616304000,505.73,137.03,1.17,23872060.62,100%
list,list,950,0,91.28,91.28,0.2,0,100%
write,write,1946,40478888000,929.09,701.67,0.41,8430863.97,100%
delete,delete,1001,0,73.94,73.94,0.21,0,100%
read,read,5817,122290056000,495.83,136.94,1.21,25470981.96,100%
list,list,960,0,96.09,96.09,0.2,0,100%
write,write,1926,40479828000,896.46,669.83,0.4,8431273.99,100%
delete,delete,1023,0,95.46,95.46,0.21,0,100%
read,read,5669,117896840000,498.87,134.03,1.18,24554148.03,100%
list,list,947,0,93.86,93.86,0.2,0,100%
write,write,1957,42707260000,924.63,675.16,0.41,8894558.87,100%
delete,delete,956,0,77.98,77.98,0.2,0,100%
read,read,5682,118421928000,510.76,134.5,1.18,24663198.91,100%
list,list,956,0,99.59,99.59,0.2,0,100%
write,write,1907,40282496000,916.47,671.68,0.4,8389453.1,100%
delete,delete,984,0,57.08,57.08,0.2,0,100%
read,read,5950,122950288000,483.81,132.67,1.24,25604337.59,100%
list,list,1054,0,111.28,111.28,0.22,0,100%
write,write,1896,39103236000,918.61,702.21,0.39,8143229.85,100%
delete,delete,926,0,69.05,69.05,0.19,0,100%
read,read,5895,119541144000,490.33,134.89,1.23,24910409.45,100%
list,list,1013,0,83.04,83.04,0.21,0,100%
write,write,1941,40344804000,912.81,677.26,0.4,8407193.98,100%
delete,delete,993,0,52.42,52.42,0.21,0,100%
read,read,5465,117101480000,527.25,140.48,1.14,24386935.6,100%
list,list,876,0,114.95,114.95,0.18,0,100%
write,write,1819,40541152000,964.44,718.57,0.38,8442886.14,100%
delete,delete,911,0,71.38,71.38,0.19,0,100%
