================================================== stage: s1-init ==================================================
---------------------------------- mission: MF17CA8A633, driver: driver1 ----------------------------------
2020-03-26 13:01:33,788 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects186
2020-03-26 13:01:33,803 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects187
2020-03-26 13:01:33,818 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects188
2020-03-26 13:01:33,835 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects189
2020-03-26 13:01:33,868 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects190
2020-03-26 13:01:33,883 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects191
2020-03-26 13:01:33,901 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects192
2020-03-26 13:01:33,919 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects193
2020-03-26 13:01:33,935 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects194
2020-03-26 13:01:33,953 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects195
2020-03-26 13:01:33,994 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects196
2020-03-26 13:01:34,012 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects197
2020-03-26 13:01:34,042 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects198
2020-03-26 13:01:34,059 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects199
2020-03-26 13:01:34,080 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects200
2020-03-26 13:01:34,096 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects201
2020-03-26 13:01:34,111 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects202
2020-03-26 13:01:34,126 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects203
2020-03-26 13:01:34,142 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects204
2020-03-26 13:01:34,158 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects205
2020-03-26 13:01:34,173 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects206
2020-03-26 13:01:34,189 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects207
2020-03-26 13:01:34,214 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects208
2020-03-26 13:01:34,229 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects209
2020-03-26 13:01:34,261 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects210
2020-03-26 13:01:34,276 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects211
2020-03-26 13:01:34,294 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects212
2020-03-26 13:01:34,309 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects213
