Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w85-s2-prepare-1,prepare-write,1000,57157700000,20,4.33,0.18,10,10,10,30,90,140,5073.57,248977384712.9,100%,100% containers=r(1-5) objects=r(1-200) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-200) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-200) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-200) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-200) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-200) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB createContainer=false containers=r(1-5) objects=r(1-200) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w85-s3-delWrite-1,write,405364,21806349889000,20,2.85,0.1,10,10,10,10,70,310,6757.99,363543108788.97,100%,80% containers=u(1-5) objects=s(201-400) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w85-s3-delWrite-2,delete,101555,0,20,0.11,0.11,10,10,10,10,10,10,1693.07,0,100%,20% containers=u(1-5) objects=s(1-400)
w85-s4-cleanup-1,cleanup-delete,2000,0,20,0.43,0.43,10,10,10,10,10,10,46178.81,0,100%,100% containers=r(1-5) objects=r(1-400) containers=r(1-5) objects=r(1-400) containers=r(1-5) objects=r(1-400) containers=r(1-5) objects=r(1-400) containers=r(1-5) objects=r(1-400) containers=r(1-5) objects=r(1-400) deleteContainer=false containers=r(1-5) objects=r(1-400)
w85-s5-dispose-1,dispose-delete,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w86-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w86-s2-prepare-1,prepare-write,1000000,52999878095000,20,2.79,0.09,10,10,10,10,70,180,6969.25,369331573290.14,100%,100% containers=r(1-5) objects=r(1-200000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB createContainer=false containers=r(1-5) objects=r(1-200000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w86-s3-delWrite-1,write,2064323,109072956828000,20,2.8,0.09,10,10,10,10,70,180,6881.58,363603162044.29,100%,80% containers=u(1-5) objects=s(200001-400000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w86-s3-delWrite-2,delete,515960,0,20,0.1,0.1,10,10,10,10,10,10,1719.99,0,100%,20% containers=u(1-5) objects=s(1-400000)
w86-s4-cleanup-1,cleanup-delete,1999999,0,20,0.42,0.42,10,10,10,10,10,20,48028.16,0,100%,100% containers=r(1-5) objects=r(1-400000) containers=r(1-5) objects=r(1-400000) containers=r(1-5) objects=r(1-400000) containers=r(1-5) objects=r(1-400000) containers=r(1-5) objects=r(1-400000) containers=r(1-5) objects=r(1-400000) deleteContainer=false containers=r(1-5) objects=r(1-400000)
w86-s5-dispose-1,dispose-delete,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w87-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w87-s2-prepare-1,prepare-write,1000000,14987869000,20,0.37,0.37,10,10,10,10,10,20,44836.29,672017639.54,100%,100% containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB createContainer=false containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w87-s3-delWrite-1,write,10820089,162087608000,20,0.32,0.32,10,10,10,10,10,30,36067.02,540292926.33,100%,80% containers=u(1-5) objects=s(200001-400000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w87-s3-delWrite-2,delete,2703677,0,20,0.59,0.59,10,10,10,10,10,40,9012.27,0,100%,20% containers=u(1-5) objects=s(1-400000)
w87-s4-cleanup-1,cleanup-delete,2000000,0,20,0.4,0.4,10,10,10,10,10,130,50660.73,0,100%,100% containers=r(1-5) objects=r(1-400000) containers=r(1-5) objects=r(1-400000) containers=r(1-5) objects=r(1-400000) containers=r(1-5) objects=r(1-400000) containers=r(1-5) objects=r(1-400000) containers=r(1-5) objects=r(1-400000) deleteContainer=false containers=r(1-5) objects=r(1-400000)
w87-s5-dispose-1,dispose-delete,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w88-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w88-s2-preparing_cluster-1,prepare-write,25000,365109000,20,33,32.95,40,50,50,50,60,210,611.29,8893375.91,100%,100% containers=r(1-5) objects=r(1-5000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-5000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-5000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-5000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-5000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-5000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB createContainer=false containers=r(1-5) objects=r(1-5000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w89-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
