================================================== stage: s1-MAIN ==================================================
---------------------------------- mission: MD17F4F33BF, driver: driver1 ----------------------------------
2020-03-26 13:47:43,631 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects3529
2020-03-26 13:47:43,651 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects98
2020-03-26 13:47:43,667 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects4694
2020-03-26 13:47:43,699 [WARN] [AbstractOperator] - listerrr: cf3/myobjects3223
2020-03-26 13:47:43,699 [INFO] [NoneStorage] - performing LIST at /cf3/myobjects3223
2020-03-26 13:47:43,699 [WARN] [AbstractOperator] - listerrr: cf4/myobjects1229
2020-03-26 13:47:43,699 [INFO] [NoneStorage] - performing LIST at /cf4/myobjects1229
2020-03-26 13:47:43,700 [WARN] [AbstractOperator] - listerrr: cf4/myobjects4074
2020-03-26 13:47:43,700 [INFO] [NoneStorage] - performing LIST at /cf4/myobjects4074
2020-03-26 13:47:43,700 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects3591
2020-03-26 13:47:43,733 [INFO] [NoneStorage] - performing GET at /cf3/myobjects4358
2020-03-26 13:47:43,739 [INFO] [NoneStorage] - performing GET at /cf3/myobjects4920
2020-03-26 13:47:43,748 [WARN] [AbstractOperator] - listerrr: cf4/myobjects4737
